keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
US,loc,1,4,0,0,1,2,0,1,1,0,2,2,0,0,0,1,0,0,0,1,2,4,0,3,2,3,2,0,2,0,0,0,4,0,0,0,1,3,0,2,1,1,2,1,2,3,1,0,2,1,2,3,0,0,0,0,0,0,1,0,4,5,3,5,2,0,1,0,5,1,3,0,1,1,3,2,1,0,0,0
Ukraine,loc,0,1,1,0,0,0,0,25,1,2,8,4,1,5,3,2,0,3,1,3,0,0,0,1,2,0,1,0,0,0,0,0,1,1,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,3,0,1,3,0,0,0,1,1,7,7,62,191,125,54,23,24,45,30,56,15,34,48,28,29,35,9,11,37,2
Ukrainian,loc,0,0,3,0,1,1,0,16,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,5,53,12,3,3,2,9,4,10,1,10,3,1,15,2,1,5,0,0
Umbra,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,8,0,0,0,8,2,0,0,0,0,0,0,0,15,0,9,0,0,1,4,0,0,1,3,2,4,1,2,1,0,0,0,0,7,0,0,0,0,11,1,3,18,1,0,3
United Arab Emirates,loc,0,2,2,1,2,0,0,1,0,1,1,1,1,1,2,0,0,0,0,1,2,0,0,1,2,0,1,1,2,1,1,2,4,2,0,0,3,2,2,4,2,0,4,3,2,4,5,5,1,4,3,3,3,6,1,1,0,2,0,2,0,1,1,2,2,0,1,1,2,2,2,4,3,2,6,3,1,3,1,0
United Kingdom,loc,2,2,3,0,1,4,1,2,0,2,4,3,2,4,3,1,5,0,17,8,2,5,6,1,3,3,1,4,3,4,1,6,7,6,2,2,7,4,4,3,0,7,8,0,4,5,5,7,4,5,6,5,4,8,5,2,8,2,5,5,4,8,5,9,6,9,17,9,9,11,12,5,9,5,7,5,4,4,2,2
United Launch Alliance,com,6,6,24,24,9,18,13,7,9,11,10,9,10,14,15,12,14,7,4,9,17,22,7,5,10,7,14,27,20,10,8,21,11,18,8,16,8,8,18,7,8,9,7,24,12,10,13,9,10,9,5,12,11,9,8,14,9,3,4,10,8,12,7,11,9,6,7,5,7,14,7,7,8,11,5,9,6,7,14,1
United Nations,org,0,0,0,3,1,0,0,2,1,1,1,0,1,1,4,3,3,2,0,0,2,1,0,0,0,0,0,0,3,3,1,0,3,1,2,1,1,0,1,0,2,0,0,0,1,2,1,0,4,0,2,2,0,4,1,5,7,1,5,4,2,3,1,4,2,2,1,3,1,8,4,2,0,2,1,1,1,4,21,0
United States,loc,13,10,17,36,14,27,34,15,20,47,31,49,44,65,61,61,27,39,38,48,56,56,34,24,49,24,41,70,34,32,31,32,49,32,30,24,41,32,44,36,49,40,38,36,26,28,34,38,37,41,39,44,60,46,41,37,32,47,61,24,30,66,38,64,70,35,33,32,43,37,28,38,32,36,27,43,37,31,48,1
VIPER,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,8,8,0,2,0,10,0,2,2,4,0,2,1,1,11,4,1,0,0,0,11,0,1,2,0,0,1,2,1,0,9,1,3,0,0,0,0,0,1,0,0,0,0,0
