keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
costs,term,1,4,2,6,7,3,6,6,4,4,4,5,5,3,10,9,20,4,5,14,7,9,8,6,8,0,11,8,9,6,7,5,5,3,7,5,6,4,6,7,10,10,5,11,9,2,5,6,2,1,7,6,4,6,5,12,7,3,6,7,4,6,6,8,8,6,4,4,2,6,4,6,8,7,9,4,17,3,0,2
cubesats,satellite,0,4,1,2,2,2,0,6,4,2,0,2,2,3,4,0,2,1,3,16,1,3,5,0,0,2,2,1,1,0,0,2,2,2,0,2,7,2,2,1,1,1,3,2,2,0,0,0,1,0,0,0,3,1,1,12,1,0,0,0,0,1,2,1,0,1,0,4,0,1,3,0,0,3,0,0,0,0,5,0
cybersecurity,term,0,0,1,3,6,0,1,0,0,0,3,0,4,0,1,1,1,0,0,7,0,0,1,1,0,0,1,2,3,0,0,8,1,3,2,0,5,4,3,0,1,2,0,0,7,1,1,0,1,0,0,2,2,4,1,1,0,7,6,1,0,1,4,6,3,0,4,2,0,1,0,1,0,0,3,2,0,2,0,0
electric propulsion,term,0,0,0,2,1,3,2,11,0,6,1,2,2,2,1,1,2,1,3,6,3,2,0,0,2,1,1,3,4,2,5,1,5,1,3,1,1,3,2,0,0,0,1,7,4,0,5,1,5,3,0,3,0,3,3,3,6,0,0,2,1,1,2,1,2,2,0,11,1,4,6,1,1,5,2,1,0,2,5,1
engine,term,4,1,1,3,2,3,1,0,1,3,5,1,0,2,7,3,5,0,4,3,12,2,0,0,2,3,4,7,3,1,2,1,0,0,4,2,1,1,2,2,2,1,3,3,2,2,2,2,1,3,5,0,4,4,0,8,0,0,3,1,1,1,3,0,1,1,0,0,2,1,3,0,1,5,3,2,2,2,8,1
engines,term,0,1,3,3,1,0,3,1,2,0,0,2,1,0,0,0,1,0,2,3,5,2,1,2,0,1,0,1,0,0,1,0,0,0,1,1,0,2,4,0,2,1,0,0,3,1,2,2,5,3,2,0,1,2,0,5,1,3,1,3,1,1,2,1,1,1,0,2,2,1,1,0,0,5,0,2,2,1,2,0
expensive,term,0,0,2,4,1,2,2,0,6,2,0,2,3,4,4,3,5,2,1,6,3,3,2,3,3,0,1,5,0,3,2,4,0,0,2,0,2,3,2,0,2,1,1,1,2,4,0,1,0,3,0,3,3,5,2,0,0,0,1,1,2,1,3,4,2,2,1,1,2,0,0,0,2,2,0,1,0,0,0,0
funding,term,1,1,4,1,5,2,2,0,0,0,0,1,2,3,1,1,2,3,1,0,1,0,1,1,1,3,3,3,5,4,5,1,4,4,3,4,1,4,2,2,1,3,1,4,3,3,4,0,1,3,1,8,2,1,0,2,1,2,2,1,1,5,1,1,3,2,1,1,0,1,3,1,1,4,3,2,3,2,4,0
geostationary,satellite,0,2,2,0,0,1,2,4,6,1,6,2,8,1,9,0,3,4,3,4,9,9,1,3,2,1,1,2,4,0,1,3,6,0,1,1,3,2,5,0,0,3,1,2,3,1,2,0,1,0,1,3,1,3,1,0,1,1,1,2,0,0,1,2,0,4,0,2,0,4,1,0,2,1,6,2,2,3,6,0
geostationary orbit,term,4,4,4,2,6,4,7,3,3,4,1,2,6,8,8,3,4,10,1,11,6,6,2,1,3,8,4,12,12,1,5,10,6,5,2,3,4,3,6,2,2,7,1,5,2,7,4,7,1,0,1,3,11,9,7,7,15,13,10,9,15,8,8,11,7,14,10,15,15,9,14,3,12,8,9,13,10,8,5,1
geostationary satellites,term,1,1,1,0,0,2,0,1,4,3,3,1,2,0,1,0,1,3,1,5,1,6,0,2,2,2,1,1,2,1,6,2,3,1,2,1,4,0,0,3,2,1,0,3,2,2,2,0,1,1,1,3,0,2,0,2,1,0,1,0,3,0,3,1,0,2,0,1,1,2,2,1,1,2,4,2,0,1,1,0
geostationary transfer orbit,term,1,4,9,0,5,10,3,2,3,8,1,4,0,4,5,3,1,2,2,3,4,3,3,2,2,4,0,1,1,3,1,5,1,1,2,4,0,0,1,1,1,1,2,7,0,1,1,1,1,0,0,0,1,1,0,0,2,1,0,2,2,0,2,1,0,1,0,5,0,3,3,1,1,1,2,5,2,0,5,0
geosynchronous orbit,term,6,2,4,1,0,0,2,0,0,1,0,0,1,2,5,1,5,2,3,1,0,0,5,1,2,3,1,3,2,1,1,2,3,5,1,1,0,1,2,5,0,0,4,2,1,2,1,0,0,1,1,3,1,1,1,5,4,5,0,0,2,2,7,3,2,0,2,1,2,4,2,1,2,1,2,2,2,0,0,0
government,org,0,5,7,6,1,11,5,4,5,2,3,11,1,6,11,22,7,10,13,13,4,5,11,7,11,6,15,9,9,9,4,4,6,9,10,6,7,7,9,19,5,2,4,14,5,3,13,7,4,10,8,8,8,12,7,7,12,14,10,7,6,6,13,8,4,7,3,9,5,3,11,4,7,6,2,6,6,2,5,1
iSpace,com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,10,2,0,0,4,1,6,4,8,0,8,5,0,2,0,6,6,0,0,2,0,3,3,8,4,4,6,3,10,8,13,7,0,0,7,13,2,5,5,8,7,3,1,1,6,1,5,0,4,0,0,8,1,5,0,2,0,1,13,0
imagery,term,1,0,4,0,0,3,3,0,1,2,2,2,0,2,1,0,2,0,3,0,0,1,3,1,2,4,0,0,1,5,0,1,3,7,1,3,1,0,1,2,1,1,2,0,1,1,1,0,2,2,3,2,1,0,1,0,1,7,0,1,0,2,1,6,0,0,0,0,1,0,2,4,3,0,0,2,1,4,4,1
international,loc,2,0,2,1,2,1,1,2,2,1,1,0,1,1,4,3,0,2,5,1,2,1,1,1,0,0,0,6,3,3,1,2,2,2,2,0,0,1,2,1,1,0,4,1,3,1,0,0,0,2,0,2,0,2,2,4,3,0,0,1,0,1,4,5,1,1,1,0,1,3,0,1,2,0,0,3,0,0,4,0
ispace,com,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0,2,2,0,5,2,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,2,1,0,10,0,6,0,0,6,0,0,2,0,0,1,0,2,1,5,1,1,6,8,13,5,0,0,0
launch,term,2,2,2,0,5,0,0,3,2,1,3,2,3,3,3,2,1,0,0,7,0,3,2,1,1,3,1,1,5,1,3,3,3,2,1,2,0,5,4,3,6,1,4,6,1,2,2,0,4,3,3,4,0,1,1,3,3,4,1,2,3,1,1,2,2,8,4,0,1,3,6,4,1,5,7,4,2,2,0,1
launch vehicle,rocket,0,1,2,0,1,0,0,2,1,1,1,2,1,2,1,0,3,0,2,4,1,0,1,1,0,0,2,1,6,1,1,1,2,4,0,2,0,2,2,1,3,0,1,4,1,2,4,1,2,2,0,2,0,6,0,1,2,2,0,0,1,1,1,1,2,1,0,2,3,0,0,0,1,3,0,0,1,0,1,0
liquid oxygen,term,3,0,0,1,3,0,0,0,0,4,4,0,2,1,4,2,3,0,3,1,1,1,1,0,6,1,1,0,5,0,1,2,2,1,2,1,2,1,2,1,2,3,0,1,4,4,4,10,3,0,3,3,3,0,0,15,0,1,0,0,2,1,2,7,3,8,1,3,5,0,0,1,2,0,2,1,2,2,5,0
low Earth orbit,term,6,21,18,18,7,8,8,10,13,14,7,12,23,19,22,21,24,24,37,38,38,46,33,11,16,17,31,63,50,37,44,40,32,49,35,13,37,13,32,24,34,31,29,31,24,35,23,20,9,19,43,52,42,55,21,71,68,40,43,46,43,45,46,46,42,49,28,48,41,53,36,34,41,48,32,40,36,28,50,4
low-Earth orbit,term,1,7,5,0,6,8,9,8,8,6,9,1,5,12,0,0,3,3,2,0,5,5,1,1,2,1,4,1,2,0,0,2,1,2,1,3,1,0,0,0,0,1,3,0,3,7,3,3,8,14,0,6,4,4,2,0,0,2,1,1,0,1,1,2,4,9,2,0,5,10,5,3,7,4,3,7,8,4,4,1
lunar orbit,term,0,0,2,0,1,2,2,0,0,3,0,4,0,1,0,1,1,2,0,0,0,2,4,1,1,1,1,1,4,0,0,1,3,2,0,1,2,2,1,2,2,3,0,1,3,1,7,15,0,0,1,2,2,0,0,3,1,1,5,2,3,4,0,0,4,1,1,1,3,2,3,1,1,5,4,2,2,1,9,0
machine learning,term,0,0,0,1,2,8,0,4,1,3,1,1,1,0,0,11,5,1,1,6,0,3,2,0,0,1,0,1,0,3,1,6,2,4,2,0,3,1,0,2,0,0,2,0,0,1,1,1,0,4,4,4,2,3,1,1,1,3,0,0,2,1,3,3,2,0,2,3,2,1,4,0,1,0,0,0,1,2,0,0
medium Earth orbit,term,0,0,2,1,0,0,2,3,1,0,0,3,2,0,4,0,0,3,1,4,2,6,3,0,0,0,2,3,0,0,1,2,2,1,2,2,2,0,3,2,2,4,1,5,2,0,1,1,0,1,0,2,3,3,1,6,2,8,3,0,2,6,2,7,3,0,3,5,6,3,5,3,5,0,0,6,2,1,0,0
microgravity,term,0,0,1,1,1,1,7,3,1,3,0,3,1,0,0,1,0,5,12,5,0,2,4,3,3,0,1,2,0,2,2,2,0,6,2,1,3,3,2,0,1,3,2,1,1,1,0,0,4,0,2,2,2,5,1,2,1,8,0,2,0,0,0,0,1,0,1,0,4,2,1,3,1,3,1,3,0,4,5,0
military,org,2,1,1,3,2,0,3,2,2,1,5,5,13,3,12,9,7,8,2,10,6,5,5,5,2,5,4,8,2,1,3,0,1,2,1,3,3,2,2,1,2,1,1,5,3,1,4,4,2,2,1,3,0,2,1,6,7,2,2,3,2,5,2,4,3,2,1,3,3,2,0,0,1,3,2,5,1,2,10,0
money,term,0,0,1,0,0,2,0,0,1,0,0,3,3,3,5,3,5,0,3,0,3,7,2,3,4,2,3,4,4,5,3,0,3,6,3,3,0,0,2,1,1,0,2,1,1,1,1,0,1,0,3,2,2,0,1,2,0,0,0,1,3,0,7,2,3,0,1,2,1,1,0,0,2,3,2,1,2,2,0,0
national security,term,0,2,8,18,2,10,3,5,0,5,4,4,9,9,8,16,7,9,4,16,6,14,8,6,8,3,19,16,15,10,2,4,11,10,1,5,9,4,11,10,11,11,5,8,5,8,10,7,5,11,8,6,3,4,1,13,3,7,4,6,6,8,7,12,2,2,4,9,2,3,6,10,15,5,4,10,3,7,9,1
orbit,term,0,3,2,2,4,2,5,4,1,6,4,2,3,3,4,8,6,2,5,4,1,2,1,3,3,3,10,8,5,0,6,4,9,7,3,7,1,8,4,0,5,6,8,7,6,2,8,3,6,2,5,5,3,10,2,12,12,9,5,6,7,6,4,4,7,2,3,4,3,4,1,1,2,7,4,10,3,0,6,3
orbital debris,term,0,0,0,1,2,1,0,0,1,0,2,0,0,0,0,2,3,3,3,2,1,1,12,0,0,1,0,4,1,1,0,2,2,1,3,1,7,1,1,4,0,0,2,0,0,1,7,2,2,0,2,6,0,2,1,1,3,1,7,1,1,5,1,3,4,2,4,2,4,0,0,2,0,0,2,0,0,5,5,0
pandemic,term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,9,12,11,3,8,1,5,4,1,2,6,4,1,1,0,5,11,0,3,2,0,0,2,3,1,0,1,1,2,1,0,0,1,0,0,0,0,0,4,0
price,term,1,0,2,1,1,3,0,0,6,5,2,0,3,1,6,4,3,4,8,5,4,12,3,6,7,2,6,3,3,2,0,6,5,6,7,1,0,3,4,1,5,1,0,8,1,2,1,3,1,2,3,5,2,2,2,1,3,0,1,3,2,1,4,2,1,1,0,3,1,0,1,0,2,3,5,0,3,1,0,1
propulsion,term,0,4,0,0,0,1,1,4,1,4,0,1,1,0,1,0,6,0,5,8,3,0,1,0,0,0,1,0,0,0,0,4,2,1,1,1,3,4,3,0,4,0,0,1,1,1,3,0,0,2,0,2,1,0,3,6,8,0,0,1,0,1,3,1,2,4,1,2,3,0,2,2,0,2,0,1,3,2,4,0
radar,term,2,2,3,0,1,2,0,2,0,5,0,0,3,1,3,7,21,1,3,6,3,9,0,2,2,1,1,2,2,5,1,6,0,8,1,2,3,2,2,1,0,0,4,4,2,0,1,9,6,4,1,2,5,10,3,3,1,3,2,0,4,2,6,7,1,1,4,6,4,2,3,1,2,4,5,4,7,4,1,0
regulatory,term,0,0,1,6,1,2,2,1,3,2,0,1,1,1,7,4,1,3,7,2,0,0,0,0,0,1,2,2,2,0,3,3,1,2,3,1,0,2,2,0,2,4,0,0,1,2,3,3,1,3,5,1,1,3,4,1,6,5,0,3,1,3,1,3,2,3,3,1,4,2,2,2,0,3,0,5,3,1,18,0
remote sensing,term,0,1,4,8,1,2,1,2,0,2,2,2,2,1,1,4,4,2,3,5,1,4,0,0,2,0,1,1,0,1,1,10,0,2,2,1,6,1,1,1,1,1,0,4,0,1,1,0,2,4,4,1,2,1,0,2,1,1,0,0,2,3,3,1,1,0,1,3,2,3,1,1,1,5,1,1,0,6,4,1
risk,term,0,7,1,1,2,6,1,1,1,1,0,4,2,1,3,9,2,4,3,2,2,1,1,1,0,0,5,4,4,6,1,1,2,1,1,2,1,1,4,3,7,0,2,2,1,4,2,3,3,2,0,3,1,4,1,3,2,6,4,3,2,1,2,2,7,4,2,2,3,0,2,1,4,1,3,2,1,0,8,0
rocket,term,1,1,7,1,4,4,2,3,2,4,3,3,6,4,5,2,4,2,6,2,1,4,4,2,3,2,4,3,2,6,5,5,7,4,5,2,1,5,3,3,6,2,3,2,2,0,3,4,6,2,8,0,3,4,1,8,10,5,1,5,4,3,3,3,2,7,4,7,3,4,4,10,2,4,5,5,4,3,2,0
satellite,term,5,4,7,4,6,6,4,7,19,3,1,10,14,6,5,1,7,4,2,10,1,16,2,7,5,2,6,10,10,5,6,6,15,4,9,5,3,3,10,1,5,5,5,3,6,3,2,5,2,3,6,2,1,5,1,4,8,5,7,5,5,5,3,5,1,3,2,3,5,3,2,1,2,3,4,1,2,5,13,1
satellite communications,term,0,1,3,3,0,1,2,1,0,3,5,3,3,0,4,2,1,4,1,1,1,2,6,0,1,5,4,1,1,2,1,2,5,3,2,0,0,4,2,0,2,1,0,0,1,4,1,0,0,1,2,4,3,1,1,2,1,2,2,4,1,2,5,3,3,3,0,3,2,1,6,0,3,4,1,2,2,5,0,0
satellite operators,term,0,0,2,1,1,0,0,0,1,2,7,0,5,3,2,0,2,3,1,0,2,3,4,0,1,1,1,1,2,1,2,3,6,1,3,0,1,5,0,0,1,1,0,2,1,2,1,0,1,1,4,1,2,1,0,0,4,1,1,2,0,1,0,3,1,2,0,1,2,3,2,2,0,0,1,0,1,2,4,0
satellites,term,0,4,4,0,5,3,2,4,6,1,1,1,3,6,5,7,8,2,8,3,3,8,2,4,1,2,3,11,7,8,4,4,9,3,4,1,7,4,0,3,3,1,2,3,3,2,1,3,4,6,3,6,0,6,1,6,8,5,7,6,5,4,9,1,3,2,4,5,3,6,2,3,4,3,3,4,6,4,6,0
small satellites,term,3,0,3,1,0,5,0,17,0,1,0,3,4,0,4,6,2,2,5,14,4,2,3,1,2,1,2,3,1,0,0,6,1,1,2,1,1,0,0,0,0,2,1,2,0,0,0,0,0,1,3,0,1,3,1,2,1,1,2,0,1,1,1,1,1,3,0,1,1,1,1,0,0,3,2,1,1,1,0,1
smallsat,satellite,1,5,1,0,0,3,2,10,3,0,1,1,2,1,3,2,5,3,2,3,3,6,6,2,4,1,1,0,2,0,3,7,1,0,0,0,1,6,3,0,2,2,0,5,0,2,2,0,1,0,0,1,2,0,0,1,3,1,1,1,1,0,0,1,0,2,0,3,0,5,0,0,0,1,0,0,0,2,4,8
software,term,0,0,1,0,0,1,5,4,3,1,2,1,0,2,4,8,1,0,3,1,2,2,2,0,1,1,1,6,1,0,6,3,0,1,1,0,4,6,2,3,0,0,10,2,4,1,5,0,2,3,2,2,3,3,3,3,3,6,4,1,2,5,3,3,4,1,0,6,8,5,7,1,5,1,4,1,3,5,4,0
solar system,term,3,1,0,3,1,7,0,1,1,0,1,4,0,0,1,1,2,0,0,1,1,1,4,4,4,0,6,0,1,4,2,0,0,3,0,0,4,7,0,0,2,0,1,3,0,0,1,3,0,1,0,0,2,2,2,1,1,2,0,1,0,0,1,1,4,0,4,3,3,3,1,0,1,2,0,0,1,2,4,0
space,term,1,3,3,6,0,4,3,2,5,7,1,4,9,6,12,9,2,7,2,11,11,11,4,8,1,3,9,15,2,8,4,0,8,4,3,1,8,5,7,4,6,7,4,7,1,4,6,10,7,10,10,15,3,5,1,15,9,12,5,5,5,4,5,9,7,3,2,7,5,8,3,4,3,3,3,2,4,6,21,1
space industry,term,2,1,2,0,2,1,1,0,0,2,1,0,4,2,1,3,3,1,2,3,0,1,2,3,3,0,1,3,3,3,0,2,1,4,1,0,1,1,2,0,1,0,4,3,5,0,4,3,4,5,6,8,0,3,1,2,4,2,2,2,0,1,0,2,5,2,0,2,5,2,2,1,2,1,2,2,3,0,0,1
spacecraft,term,2,4,2,2,3,11,1,8,6,5,2,8,2,3,0,1,5,6,3,4,1,5,1,9,3,3,4,6,3,1,8,4,0,3,1,8,7,6,7,5,8,2,3,7,1,5,2,5,1,3,9,6,1,0,3,4,2,6,10,3,6,7,4,3,8,5,3,11,4,6,10,3,2,4,1,8,6,6,10,1
sun-synchronous orbit,term,0,4,3,0,6,4,3,5,2,0,1,1,2,0,1,0,1,2,1,3,0,1,1,1,2,1,2,4,6,1,1,9,2,6,2,0,3,4,1,3,0,1,1,3,1,4,6,4,4,1,4,3,2,4,2,5,3,3,3,1,2,0,3,1,5,3,1,4,5,2,4,2,7,3,2,6,3,2,8,0
synthetic aperture radar,term,0,1,0,4,0,1,0,4,2,2,1,4,6,3,0,0,4,2,0,3,2,2,0,0,1,0,1,1,2,6,2,6,5,3,5,5,3,4,1,3,3,3,3,1,3,4,3,6,2,5,3,5,1,7,1,1,4,4,2,3,5,6,7,9,4,4,4,5,6,1,1,3,6,5,7,4,6,2,7,0
technical,term,2,2,0,0,2,0,4,2,0,4,0,3,2,4,0,4,6,0,3,8,3,4,2,2,5,3,1,3,5,2,1,0,1,1,2,1,8,2,2,4,3,1,1,5,1,4,2,2,1,4,0,1,1,3,0,5,3,4,3,2,2,1,3,0,1,5,2,6,5,6,5,5,3,1,0,5,2,1,0,0
technology,term,3,2,3,7,3,21,3,8,3,15,5,12,1,2,12,4,10,8,14,7,6,6,8,1,0,5,6,11,5,6,6,7,2,7,2,6,1,4,4,4,3,3,5,2,6,9,8,3,7,8,9,7,5,8,2,7,9,9,3,4,1,6,5,8,4,4,5,8,7,4,3,1,3,4,1,6,5,6,4,1
time,term,1,3,2,1,1,3,0,3,1,4,1,4,4,7,6,8,3,5,1,3,3,5,3,2,3,3,2,2,0,5,3,2,6,7,2,4,4,3,2,2,2,3,4,4,1,2,2,3,3,4,4,3,1,3,1,2,1,6,1,0,3,2,4,5,0,2,3,5,1,3,2,0,3,4,1,2,4,0,0,1
weather,term,2,0,3,3,2,8,0,0,2,1,0,1,4,2,1,1,3,0,2,1,0,0,2,2,2,0,5,2,0,1,1,0,0,0,1,0,2,1,0,1,9,1,6,1,1,2,2,3,0,3,3,4,6,2,7,0,0,3,4,1,2,2,2,3,3,2,1,3,2,2,1,1,1,2,2,1,2,2,1,0
